[2026-01-29 11:51:22] Location: East | Severity: HIGH
[2026-01-29 11:58:02] Location: North | Severity: CRITICAL
[2026-01-29 11:58:05] Location: South | Severity: HIGH
[2026-01-29 11:58:07] Location: West | Severity: CRITICAL
[2026-01-29 11:58:10] Location: West | Severity: MEDIUM
[2026-01-29 11:58:12] Location: East | Severity: MEDIUM
[2026-01-29 11:58:15] Location: South | Severity: MEDIUM
[2026-01-29 11:58:17] Location: West | Severity: LOW
[2026-01-29 11:58:20] Location: East | Severity: MEDIUM
[2026-01-29 11:58:22] Location: South | Severity: HIGH
[2026-01-29 11:58:25] Location: East | Severity: CRITICAL
[2026-01-29 11:58:27] Location: North | Severity: LOW
[2026-01-29 11:58:30] Location: North | Severity: CRITICAL
[2026-01-29 11:58:32] Location: West | Severity: MEDIUM
[2026-01-29 11:58:35] Location: West | Severity: CRITICAL
[2026-01-29 11:58:37] Location: East | Severity: LOW
[2026-01-29 11:58:40] Location: North | Severity: CRITICAL
[2026-01-29 11:58:42] Location: West | Severity: HIGH
[2026-01-29 11:58:45] Location: North | Severity: LOW
[2026-01-29 11:58:47] Location: West | Severity: MEDIUM
[2026-01-29 11:58:50] Location: South | Severity: HIGH
[2026-01-29 11:58:52] Location: South | Severity: HIGH
[2026-01-29 11:58:55] Location: East | Severity: HIGH
[2026-01-29 11:58:57] Location: South | Severity: CRITICAL
[2026-01-29 11:59:00] Location: South | Severity: HIGH
[2026-01-29 11:59:02] Location: North | Severity: LOW
[2026-01-29 11:59:05] Location: East | Severity: HIGH
[2026-01-29 11:59:07] Location: North | Severity: CRITICAL
[2026-01-29 11:59:10] Location: West | Severity: LOW
[2026-01-29 11:59:12] Location: West | Severity: CRITICAL
[2026-01-29 11:59:15] Location: East | Severity: HIGH
[2026-01-29 11:59:17] Location: East | Severity: LOW
[2026-01-29 11:59:20] Location: East | Severity: MEDIUM
[2026-01-29 11:59:22] Location: South | Severity: MEDIUM
[2026-01-29 11:59:25] Location: South | Severity: CRITICAL
[2026-01-29 11:59:27] Location: East | Severity: CRITICAL
[2026-01-29 11:59:30] Location: North | Severity: HIGH
[2026-01-29 11:59:32] Location: South | Severity: CRITICAL
[2026-01-29 11:59:35] Location: South | Severity: HIGH
[2026-01-29 11:59:37] Location: West | Severity: MEDIUM
[2026-01-29 11:59:40] Location: West | Severity: LOW
[2026-01-29 11:59:42] Location: West | Severity: LOW
[2026-01-29 11:59:45] Location: East | Severity: LOW
[2026-01-29 11:59:47] Location: North | Severity: HIGH
[2026-01-29 11:59:50] Location: South | Severity: CRITICAL
[2026-01-29 11:59:52] Location: East | Severity: CRITICAL
[2026-01-29 11:59:55] Location: North | Severity: HIGH
[2026-01-29 11:59:57] Location: West | Severity: MEDIUM
[2026-01-29 12:00:00] Location: North | Severity: LOW
[2026-01-29 12:00:02] Location: East | Severity: LOW
[2026-01-29 12:00:05] Location: North | Severity: MEDIUM
[2026-01-29 12:00:07] Location: East | Severity: HIGH
[2026-01-29 12:00:10] Location: South | Severity: CRITICAL
[2026-01-29 12:00:12] Location: East | Severity: CRITICAL
[2026-01-29 12:00:15] Location: East | Severity: HIGH
[2026-01-29 12:00:17] Location: West | Severity: LOW
[2026-01-29 12:00:20] Location: West | Severity: HIGH
[2026-01-29 12:00:22] Location: North | Severity: LOW
[2026-01-29 12:00:25] Location: South | Severity: MEDIUM
[2026-01-29 12:00:27] Location: South | Severity: HIGH
[2026-01-29 12:00:30] Location: West | Severity: MEDIUM
[2026-01-29 12:00:32] Location: West | Severity: LOW
[2026-01-29 12:00:35] Location: West | Severity: LOW
[2026-01-29 12:00:37] Location: West | Severity: CRITICAL
[2026-01-29 12:00:40] Location: South | Severity: CRITICAL
[2026-01-29 12:00:42] Location: North | Severity: CRITICAL
[2026-01-29 12:00:45] Location: West | Severity: HIGH
[2026-01-29 12:00:47] Location: South | Severity: MEDIUM
[2026-01-29 12:00:50] Location: South | Severity: LOW
[2026-01-29 12:00:52] Location: North | Severity: MEDIUM
[2026-01-29 12:00:55] Location: West | Severity: LOW
[2026-01-29 12:00:57] Location: West | Severity: LOW
[2026-01-29 12:01:00] Location: South | Severity: CRITICAL
[2026-01-29 12:01:02] Location: East | Severity: MEDIUM
[2026-01-29 12:01:05] Location: West | Severity: LOW
[2026-01-29 12:01:07] Location: West | Severity: LOW
[2026-01-29 12:01:10] Location: East | Severity: HIGH
[2026-01-29 12:01:12] Location: West | Severity: MEDIUM
[2026-01-29 12:01:15] Location: South | Severity: CRITICAL
[2026-01-29 12:01:17] Location: East | Severity: LOW
[2026-01-29 12:01:20] Location: North | Severity: CRITICAL
[2026-01-29 12:01:22] Location: East | Severity: MEDIUM
[2026-01-29 12:01:25] Location: South | Severity: MEDIUM
[2026-01-29 12:01:27] Location: West | Severity: MEDIUM
[2026-01-29 12:01:30] Location: South | Severity: MEDIUM
[2026-01-29 12:01:32] Location: West | Severity: MEDIUM
[2026-01-29 12:01:35] Location: North | Severity: LOW
[2026-01-29 12:01:37] Location: South | Severity: HIGH
[2026-01-29 12:01:40] Location: North | Severity: HIGH
[2026-01-29 12:01:42] Location: North | Severity: MEDIUM
[2026-01-29 12:01:45] Location: West | Severity: HIGH
[2026-01-29 12:01:47] Location: West | Severity: HIGH
[2026-01-29 12:01:50] Location: West | Severity: MEDIUM
[2026-01-29 12:01:52] Location: East | Severity: LOW
[2026-01-29 12:01:55] Location: North | Severity: HIGH
[2026-01-29 12:01:57] Location: West | Severity: CRITICAL
[2026-01-29 12:02:00] Location: North | Severity: HIGH
[2026-01-29 12:02:02] Location: East | Severity: HIGH
[2026-01-29 12:02:05] Location: North | Severity: MEDIUM
[2026-01-29 12:02:07] Location: South | Severity: MEDIUM
[2026-01-29 12:02:10] Location: South | Severity: CRITICAL
[2026-01-29 12:02:12] Location: East | Severity: MEDIUM
[2026-01-29 12:02:16] Location: North | Severity: HIGH
[2026-01-29 12:02:17] Location: North | Severity: LOW
[2026-01-29 12:02:21] Location: East | Severity: MEDIUM
[2026-01-29 12:02:22] Location: West | Severity: HIGH
[2026-01-29 12:02:26] Location: East | Severity: CRITICAL
[2026-01-29 12:02:27] Location: West | Severity: CRITICAL
[2026-01-29 12:02:31] Location: North | Severity: HIGH
[2026-01-29 12:02:32] Location: East | Severity: HIGH
[2026-01-29 12:02:36] Location: North | Severity: CRITICAL
[2026-01-29 12:02:38] Location: East | Severity: HIGH
[2026-01-29 12:02:41] Location: North | Severity: HIGH
[2026-01-29 12:02:43] Location: South | Severity: LOW
[2026-01-29 12:02:46] Location: West | Severity: LOW
[2026-01-29 12:02:48] Location: North | Severity: LOW
[2026-01-29 12:02:51] Location: West | Severity: HIGH
[2026-01-29 12:02:53] Location: South | Severity: HIGH
[2026-01-29 12:02:56] Location: West | Severity: LOW
[2026-01-29 12:02:58] Location: East | Severity: HIGH
[2026-01-29 12:03:01] Location: East | Severity: CRITICAL
[2026-01-29 12:03:03] Location: East | Severity: MEDIUM
[2026-01-29 12:03:06] Location: South | Severity: CRITICAL
[2026-01-29 12:03:08] Location: North | Severity: MEDIUM
[2026-01-29 12:03:11] Location: East | Severity: MEDIUM
[2026-01-29 12:03:13] Location: South | Severity: CRITICAL
[2026-01-29 12:03:16] Location: West | Severity: CRITICAL
[2026-01-29 12:03:18] Location: South | Severity: HIGH
[2026-01-29 12:03:21] Location: West | Severity: MEDIUM
[2026-01-29 12:03:23] Location: East | Severity: CRITICAL
[2026-01-29 12:03:26] Location: East | Severity: CRITICAL
[2026-01-29 12:03:28] Location: East | Severity: MEDIUM
[2026-01-29 12:03:31] Location: South | Severity: CRITICAL
[2026-01-29 12:03:33] Location: South | Severity: HIGH
[2026-01-29 12:03:36] Location: West | Severity: LOW
[2026-01-29 12:03:38] Location: West | Severity: HIGH
[2026-01-29 12:03:41] Location: West | Severity: MEDIUM
[2026-01-29 12:03:43] Location: South | Severity: HIGH
[2026-01-29 12:03:46] Location: North | Severity: CRITICAL
[2026-01-29 12:03:48] Location: North | Severity: CRITICAL
[2026-01-29 12:03:51] Location: South | Severity: LOW
[2026-01-29 12:03:53] Location: West | Severity: LOW
[2026-01-29 12:03:56] Location: West | Severity: HIGH
[2026-01-29 12:03:58] Location: East | Severity: HIGH
[2026-01-29 12:04:01] Location: North | Severity: CRITICAL
[2026-01-29 12:04:03] Location: West | Severity: HIGH
[2026-01-29 12:04:06] Location: East | Severity: HIGH
[2026-01-29 12:04:08] Location: West | Severity: LOW
[2026-01-29 12:04:11] Location: North | Severity: LOW
[2026-01-29 12:04:13] Location: South | Severity: CRITICAL
[2026-01-29 12:04:16] Location: East | Severity: CRITICAL
[2026-01-29 12:04:18] Location: South | Severity: MEDIUM
[2026-01-29 12:04:21] Location: West | Severity: CRITICAL
[2026-01-29 12:04:23] Location: North | Severity: LOW
[2026-01-29 12:04:26] Location: West | Severity: LOW
[2026-01-29 12:04:28] Location: North | Severity: HIGH
[2026-01-29 12:04:31] Location: West | Severity: HIGH
[2026-01-29 12:04:33] Location: West | Severity: CRITICAL
[2026-01-29 12:04:36] Location: West | Severity: HIGH
[2026-01-29 12:04:38] Location: South | Severity: LOW
[2026-01-29 12:04:41] Location: West | Severity: CRITICAL
[2026-01-29 12:04:43] Location: West | Severity: LOW
[2026-01-29 12:04:46] Location: East | Severity: MEDIUM
[2026-01-29 12:04:48] Location: South | Severity: HIGH
[2026-01-29 12:04:51] Location: North | Severity: CRITICAL
[2026-01-29 12:04:53] Location: East | Severity: MEDIUM
[2026-01-29 12:04:56] Location: East | Severity: MEDIUM
[2026-01-29 12:04:58] Location: East | Severity: HIGH
[2026-01-29 12:05:01] Location: North | Severity: CRITICAL
[2026-01-29 12:05:03] Location: West | Severity: LOW
[2026-01-29 12:05:06] Location: East | Severity: MEDIUM
[2026-01-29 12:05:08] Location: West | Severity: HIGH
[2026-01-29 12:05:11] Location: West | Severity: HIGH
[2026-01-29 12:05:13] Location: East | Severity: HIGH
[2026-01-29 12:05:16] Location: South | Severity: CRITICAL
[2026-01-29 12:05:18] Location: West | Severity: HIGH
[2026-01-29 12:05:21] Location: West | Severity: CRITICAL
